speciesId,formKey,nameZh,alternate,normalStatus,shinyStatus,normalUrls,shinyUrls
131,lapras,拉普拉斯,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/lapras.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/lapras-s.gif
132,ditto,百变怪,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/ditto.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/ditto-s.gif
133,eevee,伊布,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/eevee.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/eevee-s.gif
134,vaporeon,水伊布,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/vaporeon.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/vaporeon-s.gif
135,jolteon,雷伊布,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/jolteon.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/jolteon-s.gif
136,flareon,火伊布,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/flareon.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/flareon-s.gif
137,porygon,多边兽,False,no_mapped_index_entry,no_mapped_index_entry,,
138,omanyte,菊石兽,False,no_mapped_index_entry,no_mapped_index_entry,,
139,omastar,多刺菊石兽,False,no_mapped_index_entry,no_mapped_index_entry,,
140,kabuto,化石盔,False,no_mapped_index_entry,no_mapped_index_entry,,
141,kabutops,镰刀盔,False,no_mapped_index_entry,no_mapped_index_entry,,
142,aerodactyl,化石翼龙,False,no_mapped_index_entry,no_mapped_index_entry,,
143,snorlax,卡比兽,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/snorlax.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/snorlax-s.gif
144,articuno,急冻鸟,False,no_mapped_index_entry,no_mapped_index_entry,,
145,zapdos,闪电鸟,False,no_mapped_index_entry,no_mapped_index_entry,,
146,moltres,火焰鸟,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/moltres.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/moltres-s.gif
147,dratini,迷你龙,False,no_mapped_index_entry,no_mapped_index_entry,,
148,dragonair,哈克龙,False,no_mapped_index_entry,no_mapped_index_entry,,
149,dragonite,快龙,False,no_mapped_index_entry,no_mapped_index_entry,,
150,mewtwo,超梦,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/mewtwo.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/mewtwo-s.gif
151,mew,梦幻,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/mew.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/mew-s.gif
152,chikorita,菊草叶,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/chikorita.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/chikorita-s.gif
153,bayleef,月桂叶,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/bayleef.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/bayleef-s.gif
